Electric driving range,oldcartype,Age,Gender,Oneway_commute_dist,Long_trip_num,Safety,Refuelling/Recharging costs,Environmental impacts,Reliability,Electric driving range.1,Convenience of charging,Household_income,"Home Charging (L1, L2, None)","Work charging (L1, L2, DC, none)",Public charging,Second_vehicle,"Lease (1 lease, 0 other)",Discontinuance (inc. purchased lease) 2
0.1453287197231834,1.0,0.9193548387096774,0.0,0.011548132274043553,0.0,0.75,1.0,1.0,0.75,0.75,0.75,0.2,0.5,0.0,0.0,0.12280701754385964,0.0,0.0
0.031141868512110725,1.0,0.5967741935483871,1.0,0.015151591193106252,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.1,0.5,0.0,0.0,0.18421052631578946,1.0,0.0
0.8961937716262975,0.0,0.43548387096774194,0.0,0.006945943097469047,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.0,0.6666666666666666,0.0,0.12280701754385964,1.0,1.0
0.8996539792387543,0.0,0.9193548387096774,0.0,0.8463260277135101,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,0.3508771929824561,0.0,0.0
0.25259515570934254,0.0,0.7580645161290323,0.0,0.00802999202019543,0.03,1.0,1.0,1.0,1.0,0.25,1.0,0.7,1.0,0.6666666666666666,0.0,0.21929824561403508,1.0,0.0
0.031141868512110725,1.0,0.5967741935483871,0.0,0.00288075963724511,0.0,0.5,0.75,0.75,1.0,0.25,0.5,0.3,1.0,0.0,0.0,0.3508771929824561,1.0,1.0
0.25259515570934254,0.0,0.7580645161290323,1.0,0.002705103561803335,0.0,1.0,1.0,1.0,1.0,0.75,1.0,0.4,0.5,0.19999999999999998,0.6666666666666666,0.19298245614035087,1.0,1.0
0.1453287197231834,1.0,0.27419354838709675,1.0,0.018448906666399,0.0,0.5,1.0,1.0,1.0,0.25,1.0,0.4,0.5,0.0,0.0,0.21052631578947367,1.0,0.0
0.2422145328719723,0.0,0.7580645161290323,0.0,0.01231600026097474,0.0,0.75,1.0,1.0,0.5,0.75,0.75,0.6,1.0,0.0,0.6666666666666666,0.11403508771929824,1.0,0.0
0.25259515570934254,0.0,0.27419354838709675,0.0,0.006664893376762206,0.0,1.0,1.0,1.0,1.0,0.25,0.0,0.3,0.0,0.3333333333333333,0.0,0.12280701754385964,1.0,0.0
